Date,Actual value,Predicted value
2004-03-10 18:00:00,1360.0,1036.207892
2004-03-10 19:00:00,1292.0,926.866525
2004-03-10 20:00:00,1402.0,963.139635
2004-03-10 21:00:00,1376.0,1009.734014
2004-03-10 22:00:00,1272.0,943.499218
2004-03-10 23:00:00,1197.0,869.070699
2004-03-11 00:00:00,1185.0,787.648452
2004-03-11 01:00:00,1136.0,790.36407
2004-03-11 02:00:00,1094.0,735.690574
2004-03-11 03:00:00,1010.0,701.15025
2004-03-11 04:00:00,1011.0,648.488872
2004-03-11 05:00:00,1066.0,614.448428
2004-03-11 06:00:00,1052.0,667.85392
2004-03-11 07:00:00,1144.0,780.732064
2004-03-11 08:00:00,1333.0,965.882709
2004-03-11 09:00:00,1351.0,975.939196
2004-03-11 10:00:00,1233.0,887.220346
2004-03-11 11:00:00,1179.0,818.917287
2004-03-11 12:00:00,1236.0,836.783433
2004-03-11 13:00:00,1286.0,920.944111
2004-03-11 14:00:00,1371.0,1048.597388
2004-03-11 15:00:00,1310.0,983.088241
2004-03-11 16:00:00,1292.0,970.405729
2004-03-11 17:00:00,1383.0,1036.537279
2004-03-11 18:00:00,1581.0,1225.963462
2004-03-11 19:00:00,1776.0,1386.078834
2004-03-11 20:00:00,1640.0,1328.647323
2004-03-11 21:00:00,1313.0,1093.597634
2004-03-11 22:00:00,965.0,848.595717
2004-03-11 23:00:00,913.0,721.381247
2004-03-12 00:00:00,1080.0,865.024669
2004-03-12 01:00:00,1044.0,877.548164
2004-03-12 02:00:00,988.0,798.563375
2004-03-12 03:00:00,889.0,706.232982
2004-03-12 04:00:00,831.0,621.287284
2004-03-12 05:00:00,847.0,619.393018
2004-03-12 06:00:00,927.0,682.971765
2004-03-12 07:00:00,1091.0,816.286935
2004-03-12 08:00:00,1587.0,1168.138421
2004-03-12 09:00:00,1545.0,1248.588708
2004-03-12 10:00:00,1350.0,1070.969797
2004-03-12 11:00:00,1263.0,1029.52708
2004-03-12 12:00:00,1206.0,954.044627
2004-03-12 13:00:00,1252.0,969.735733
2004-03-12 14:00:00,1287.0,1017.501242
2004-03-12 15:00:00,1353.0,1050.625051
2004-03-12 16:00:00,1309.0,1027.544748
2004-03-12 17:00:00,1274.0,981.520481
2004-03-12 18:00:00,1510.0,1182.95528
2004-03-12 19:00:00,1525.0,1184.784751
2004-03-12 20:00:00,1843.0,1474.381668
2004-03-12 21:00:00,1598.0,1266.4112
2004-03-12 22:00:00,1484.0,1173.292862
2004-03-12 23:00:00,1677.0,1298.129455
2004-03-13 00:00:00,1280.0,1064.390681
2004-03-13 01:00:00,1196.0,989.538042
2004-03-13 02:00:00,1184.0,929.731484
2004-03-13 03:00:00,1172.0,931.389975
2004-03-13 04:00:00,1147.0,941.701637
2004-03-13 05:00:00,978.0,811.235372
2004-03-13 06:00:00,1100.0,822.419156
2004-03-13 07:00:00,1112.0,898.59527
2004-03-13 08:00:00,1336.0,1067.729985
2004-03-13 09:00:00,1408.0,1158.231484
2004-03-13 10:00:00,1447.0,1136.215326
2004-03-13 11:00:00,1542.0,1203.004948
2004-03-13 12:00:00,1451.0,1124.70382
2004-03-13 13:00:00,1328.0,1019.45394
2004-03-13 14:00:00,1207.0,913.412882
2004-03-13 15:00:00,1240.0,944.141698
2004-03-13 16:00:00,1306.0,991.212686
2004-03-13 17:00:00,1326.0,1001.239861
2004-03-13 18:00:00,1473.0,1147.971393
2004-03-13 19:00:00,1609.0,1251.692652
2004-03-13 20:00:00,1611.0,1267.059762
2004-03-13 21:00:00,1621.0,1299.842156
2004-03-13 22:00:00,1444.0,1170.776814
2004-03-13 23:00:00,1418.0,1129.315188
2004-03-14 00:00:00,1534.0,1137.494594
2004-03-14 01:00:00,1484.0,1143.525961
2004-03-14 02:00:00,1367.0,1062.098097
2004-03-14 03:00:00,1344.0,1071.330349
2004-03-14 04:00:00,1130.0,937.975438
2004-03-14 05:00:00,1062.0,875.962949
2004-03-14 06:00:00,1076.0,829.839674
2004-03-14 07:00:00,1028.0,834.931697
2004-03-14 08:00:00,1155.0,896.651137
2004-03-14 09:00:00,1235.0,967.982955
2004-03-14 10:00:00,1332.0,1029.031968
2004-03-14 11:00:00,1445.0,1088.135476
2004-03-14 12:00:00,1416.0,1056.132203
2004-03-14 13:00:00,1281.0,928.098498
2004-03-14 14:00:00,1207.0,903.752021
2004-03-14 15:00:00,1258.0,920.508398
2004-03-14 16:00:00,1458.0,1018.842664
2004-03-14 17:00:00,1438.0,1046.759162
2004-03-14 18:00:00,1478.0,1067.676858
2004-03-14 19:00:00,1808.0,1282.998435
2004-03-14 20:00:00,1898.0,1374.25131
2004-03-14 21:00:00,1560.0,1213.51293
2004-03-14 22:00:00,1324.0,1087.319524
2004-03-14 23:00:00,1349.0,1069.822262
2004-03-15 00:00:00,1239.0,1023.184465
2004-03-15 01:00:00,1239.0,998.488202
2004-03-15 02:00:00,1224.0,1001.212141
2004-03-15 03:00:00,1078.0,937.647778
2004-03-15 04:00:00,1078.0,921.455925
2004-03-15 05:00:00,1075.0,922.377303
2004-03-15 06:00:00,1157.0,983.520376
2004-03-15 07:00:00,1314.0,1070.804518
2004-03-15 08:00:00,1797.0,1359.552338
2004-03-15 09:00:00,1961.0,1600.122806
2004-03-15 10:00:00,1771.0,1428.847977
2004-03-15 11:00:00,1564.0,1301.10418
2004-03-15 12:00:00,1430.0,1158.827393
2004-03-15 13:00:00,1417.0,1137.935497
2004-03-15 14:00:00,1400.0,1110.675537
2004-03-15 15:00:00,1317.0,1036.822809
2004-03-15 16:00:00,1318.0,1013.915096
2004-03-15 17:00:00,1445.0,1100.301829
